frame,timestamp_sec,track_id,in_roi,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_aspect,center_x,center_y,center_speed,avg_keypoint_score,torso_angle_deg,shoulder_hip_height,flow_mean_mag,flow_max_mag,flow_mean_dx,flow_mean_dy,flow_downward_ratio,fall_score,raw_label,label,reason
147,4.9,1,1,16.451560974121094,113.46720886230469,111.85774230957031,261.6759033203125,95.40618133544922,148.2086944580078,0.6437286401067435,64.1546516418457,187.5715560913086,3.7623461992508207,0.2988854646682739,59.96042251586914,37.57550048828125,0.3519165515899658,2.0898735523223877,-0.0050474354065954685,0.29991614818573,0.26034675615212527,0.8622918158769608,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
148,4.933333333333334,1,1,16.952877044677734,98.52157592773438,116.1832504272461,262.7962951660156,99.23037338256836,164.27471923828125,0.6040513953862507,66.56806373596191,180.658935546875,7.32180856942817,0.2970139682292938,62.241058349609375,39.994842529296875,0.7971948981285095,5.143173694610596,0.07818363606929779,0.7182844281196594,0.40040650406504064,0.8623844861984253,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
149,4.966666666666667,1,1,16.896759033203125,98.0617446899414,116.15768432617188,262.7969665527344,99.26092529296875,164.73522186279297,0.6025482842742799,66.5272216796875,180.4293556213379,0.23318451014239153,0.3127724826335907,62.65153884887695,40.110687255859375,0.0032332795672118664,0.2376212328672409,0.0009154618601314723,-0.0028172670863568783,0.0,0.8622704923152924,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
150,5.0,1,1,16.808164596557617,115.47737884521484,114.34335327148438,263.3631896972656,97.53518867492676,147.88581085205078,0.6595304046613625,65.575758934021,189.42028427124023,9.041132636126186,0.3134070634841919,60.513206481933594,41.96728515625,0.2508266270160675,1.4383094310760498,0.07461860030889511,0.1986568719148636,0.13729451100585122,0.8623350888490677,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
151,5.033333333333333,2,1,14.713876724243164,22.092914581298828,119.06912994384766,270.68939208984375,104.35525321960449,248.59647750854492,0.41977768255391923,66.89150333404541,146.3911533355713,38.610110473000645,0.2823924720287323,48.44536209106445,21.1124267578125,0.680824339389801,4.0522685050964355,0.17897185683250427,0.6022727489471436,0.30124343527957986,0.7495494782924652,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
152,5.066666666666666,1,1,23.034786224365234,106.52230072021484,121.7910385131836,275.6122131347656,98.75625228881836,169.08991241455078,0.584045794799998,72.41291236877441,191.06725692749023,7.032722518398948,0.32863712310791016,61.841609954833984,39.20172119140625,0.9390667080879211,5.814985275268555,0.15435616672039032,0.8167878985404968,0.39961747654055346,0.862384307384491,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
152,5.066666666666666,2,1,17.11944007873535,126.98108673095703,44.21059036254883,195.95948791503906,27.091150283813477,68.97840118408203,0.39274830698837987,30.66501522064209,161.47028732299805,39.23950462023343,0.10144231468439102,46.7842903137207,12.347030639648438,1.6961169242858887,2.4095687866210938,0.23931439220905304,1.673966884613037,1.0,0.7490794211626053,fall,fall,LSTM=1.00; мало кадров для решения; подтверждено несколькими кадрами
153,5.1,1,1,24.191085815429688,107.12086486816406,122.2091293334961,275.5107116699219,98.0180435180664,168.3898468017578,0.582089985707162,73.20010757446289,191.31578826904297,0.8254962868438143,0.3410387337207794,61.084449768066406,37.66827392578125,0.07785172760486603,2.409503698348999,-0.005229601636528969,0.025086436420679092,0.009721048182586645,0.8620310157537461,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
153,5.1,2,1,17.17205047607422,127.25203704833984,44.21641540527344,196.0489501953125,27.04436492919922,68.79691314697266,0.3931043369841846,30.694232940673828,161.65049362182617,0.18255953905831523,0.10329096019268036,53.58578872680664,12.716140747070312,0.01829402893781662,0.10884886234998703,0.001954026287421584,-0.01599063165485859,0.0,0.749843493103981,fall,fall,LSTM=1.00; мало кадров для решения; подтверждено несколькими кадрами
154,5.133333333333334,1,1,20.346006393432617,111.14781188964844,124.39727020263672,280.5270080566406,104.0512638092041,169.3791961669922,0.6143095856153385,72.37163829803467,195.83740997314453,4.596892882914265,0.3958528935909271,65.30368041992188,44.67401123046875,1.8063615560531616,6.568583965301514,0.6941666007041931,1.539005994796753,0.4794683257918552,0.8622733533382416,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
154,5.133333333333334,2,1,18.572311401367188,128.41317749023438,44.65667724609375,199.02691650390625,26.084365844726562,70.61373901367188,0.3693950527060497,31.61449432373047,163.7200469970703,2.2649353602541806,0.14023230969905853,42.23282241821289,10.488510131835938,4.1117939949035645,5.091864109039307,1.2679688930511475,3.899355888366699,1.0,0.9998454600572586,fall,fall,"LSTM=1.00; резкое движение, низкое положение, горизонтальная/наклонная поза, движение вниз; подтверждено несколькими кадрами"
155,5.166666666666667,1,1,20.299686431884766,111.7612533569336,124.38876342773438,280.53594970703125,104.08907699584961,168.77469635009766,0.6167339017451556,72.34422492980957,196.14860153198242,0.3123966693954997,0.4193519949913025,65.74030303955078,45.11830139160156,0.013418192975223064,0.5406070947647095,-0.003515996504575014,-0.0022031248081475496,0.0,0.8621236860752106,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
155,5.166666666666667,2,1,18.572986602783203,128.23709106445312,44.665016174316406,199.01890563964844,26.092029571533203,70.78181457519531,0.3686261750723308,31.619001388549805,163.62799835205078,0.09215892080106716,0.12905007600784302,42.586307525634766,10.608657836914062,0.005325713194906712,0.14656460285186768,-0.004034779500216246,-0.002750272396951914,0.0,0.9998725950717926,fall,fall,"LSTM=1.00; резкое движение, низкое положение, горизонтальная/наклонная поза, движение вниз; подтверждено несколькими кадрами"
156,5.2,1,1,23.39430046081543,110.10514068603516,123.98087310791016,280.672119140625,100.58657264709473,170.56697845458984,0.589718910180929,73.6875867843628,195.38862991333008,1.5434305729205111,0.4438113272190094,64.34587860107422,43.29888916015625,0.36291825771331787,1.7803077697753906,0.16216376423835754,0.2865598201751709,0.2553992241329396,0.8620831400156022,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
156,5.2,2,1,19.39958953857422,129.5267791748047,45.10188293457031,200.87635803222656,25.702293395996094,71.34957885742188,0.3602304849949722,32.250736236572266,165.20156860351562,1.6956450850638212,0.08842872083187103,49.09952926635742,8.483230590820312,1.064092993736267,1.6130967140197754,0.4087443947792053,0.9739068150520325,0.9739978331527628,0.9373434036970139,fall,fall,"LSTM=1.00; резкое движение, низкое положение, движение вниз; подтверждено несколькими кадрами"
157,5.233333333333333,1,1,24.159385681152344,126.28483581542969,124.70114135742188,282.25079345703125,100.54175567626953,155.96595764160156,0.6446391071268718,74.43026351928711,204.26781463623047,8.910190237923404,0.36640509963035583,64.07916259765625,41.992645263671875,1.2944436073303223,7.239449501037598,0.5918001532554626,1.0248583555221558,0.4034018786494034,0.8622553825378418,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
158,5.266666666666667,1,1,24.78812599182129,133.27899169921875,124.72854614257812,283.0192565917969,99.94042015075684,149.74026489257812,0.6674251593080385,74.7583360671997,208.1491241455078,3.8951502029447593,0.42331889271736145,64.36988830566406,43.84968566894531,1.1649773120880127,5.186074256896973,0.46976032853126526,0.9197169542312622,0.407,0.8620834082365036,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
159,5.3,1,1,24.544240951538086,132.81565856933594,124.7313232421875,283.3087158203125,100.18708229064941,150.49305725097656,0.6657256096775807,74.6377820968628,208.06218719482422,0.14863140031014702,0.4751932919025421,65.36676788330078,46.366455078125,0.08992595225572586,1.5544145107269287,0.01778464950621128,0.0052057839930057526,0.009266666666666666,0.8617799609899521,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
160,5.333333333333333,1,1,25.389101028442383,122.84632110595703,95.66073608398438,263.034423828125,70.27163505554199,140.18810272216797,0.5012667529626957,60.52491855621338,192.94037246704102,20.684346689668313,0.23482906818389893,58.89636993408203,39.27593994140625,3.313213586807251,11.649868965148926,1.8966068029403687,2.5401623249053955,0.6978873239436619,0.9366863071918488,fall,fall,"LSTM=1.00; резкое движение, низкое положение, движение вниз; подтверждено несколькими кадрами"
161,5.366666666666666,1,1,25.708824157714844,122.67343139648438,95.40849304199219,263.14990234375,69.69966888427734,140.47647094726562,0.49616614379814794,60.558658599853516,192.9116668701172,0.0442990049503555,0.28166812658309937,59.04804229736328,39.10699462890625,0.06627347320318222,0.5950227975845337,-0.031728554517030716,-0.021238161250948906,0.0,0.9353901296854019,fall,fall,"LSTM=1.00; резкое движение, низкое положение, движение вниз; подтверждено несколькими кадрами"
162,5.4,1,1,27.167802810668945,127.00824737548828,96.47853088378906,263.8800048828125,69.31072807312012,136.87175750732422,0.5063917446183972,61.823166847229004,195.4441261291504,2.8306061199579906,0.2704222500324249,57.81946563720703,37.83648681640625,0.9940143823623657,4.173635959625244,0.6106007099151611,0.6859167218208313,0.4928594097112028,0.9356843680143356,fall,fall,"LSTM=1.00; резкое движение, низкое положение, движение вниз; подтверждено несколькими кадрами"
163,5.433333333333334,1,1,28.935192108154297,130.8791046142578,134.303466796875,299.6749572753906,105.3682746887207,168.7958526611328,0.6242349739495878,81.61932945251465,215.27703094482422,28.021994349483546,0.4528166651725769,60.716156005859375,45.26542663574219,1.7111984491348267,8.771392822265625,0.8041647672653198,1.189688801765442,0.37610594533671454,0.8609722137451172,fall,fall,"LSTM=1.00; резкое движение, движение вниз; подтверждено несколькими кадрами"
164,5.466666666666667,1,1,29.889175415039062,131.24993896484375,103.01913452148438,271.517822265625,73.12995910644531,140.26788330078125,0.5213592547741682,66.45415496826172,201.38388061523438,20.567015904559867,0.3750322163105011,62.02741622924805,48.17047119140625,1.1598881483078003,6.764076232910156,0.5923733711242676,0.7822307348251343,0.47459438453317787,0.9368413835763931,fall,fall,"LSTM=1.00; резкое движение, низкое положение, движение вниз; подтверждено несколькими кадрами"
165,5.5,1,1,29.849885940551758,129.61624145507812,102.73712158203125,271.66363525390625,72.88723564147949,142.04739379882812,0.5131191336372185,66.2935037612915,200.6399383544922,0.761090597510693,0.3601393401622772,60.561973571777344,48.5194091796875,0.048782482743263245,0.5269890427589417,-0.003492433810606599,-0.024338282644748688,0.0,0.8617186725139618,fall,fall,"LSTM=1.00; резкое движение, движение вниз; подтверждено несколькими кадрами"
166,5.533333333333333,1,1,32.61994171142578,142.5716552734375,144.0620574951172,306.52099609375,111.4421157836914,163.9493408203125,0.6797350646614145,88.34099960327148,224.54632568359375,32.52087680292695,0.5765776634216309,61.038795471191406,47.25938415527344,4.432037830352783,16.377649307250977,2.40873384475708,3.329188346862793,0.5674027686222808,0.8621478259563446,fall,fall,"LSTM=1.00; резкое движение, движение вниз; подтверждено несколькими кадрами"
167,5.566666666666666,1,1,32.759674072265625,143.5249786376953,141.7498321533203,307.0212097167969,108.99015808105469,163.49623107910156,0.6666218380797039,87.25475311279297,225.2730941772461,1.3069521343349146,0.6007471680641174,62.260475158691406,48.626007080078125,0.11678353697061539,2.294401168823242,-0.009932402521371841,0.010094081982970238,0.017842066752968986,0.8623763501644135,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
168,5.6,1,1,34.06515121459961,150.3792266845703,140.54161071777344,307.9859924316406,106.47645950317383,157.6067657470703,0.675583049994496,87.30338096618652,229.18260955810547,3.909817793875015,0.37849944829940796,58.55256652832031,45.49212646484375,1.542443037033081,7.6321187019348145,0.8880239129066467,0.9563215970993042,0.41624275405181593,0.8622455477714539,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
169,5.633333333333334,1,1,35.512088775634766,155.2367401123047,139.62286376953125,316.2756652832031,104.11077499389648,161.03892517089844,0.6464944725842624,87.56747627258301,235.7562026977539,6.5788960393438085,0.5443654656410217,62.227699279785156,39.6356201171875,4.166173458099365,20.453014373779297,2.4016096591949463,3.0610194206237793,0.5369087434304826,0.8620668232440949,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
170,5.666666666666667,1,1,35.49201583862305,153.3734130859375,136.59414672851562,313.3344421386719,101.10213088989258,159.96102905273438,0.6320422635976055,86.04308128356934,233.3539276123047,2.8451196229157123,0.5705976486206055,65.88054656982422,48.72874450683594,0.32381191849708557,6.417018890380859,0.08159779757261276,-0.03692524507641792,0.04350490196078431,0.8597852021455765,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
171,5.7,1,1,35.796470642089844,153.4793243408203,135.8302459716797,312.9251708984375,100.03377532958984,159.4458465576172,0.6273840146312105,85.81335830688477,233.2022476196289,0.2752807043636453,0.5446537137031555,65.59297180175781,48.627227783203125,0.020659254863858223,0.523215115070343,-0.008804195560514927,-0.006805608049035072,0.0,0.8595403611660004,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
172,5.733333333333333,1,1,52.544578552246094,166.68934631347656,164.8465576171875,327.2081604003906,112.3019790649414,160.51881408691406,0.6996187936208816,108.6955680847168,246.9487533569336,26.693855927955827,0.6439414620399475,70.46883392333984,45.52949523925781,4.738911151885986,19.97612953186035,2.7915194034576416,3.2517592906951904,0.4739955357142857,0.8561969429254532,fall_candidate,not_fall,"LSTM=0.99; резкое движение, движение вниз; недостаточно подтверждения"
173,5.766666666666667,1,1,52.72288513183594,166.38401794433594,169.4297637939453,328.0043640136719,116.70687866210938,161.62034606933594,0.7221051154787254,111.07632446289062,247.1941909790039,2.3933743038945856,0.6191690564155579,70.46851348876953,46.30952453613281,0.08062763512134552,1.2435591220855713,0.014410334639251232,0.014502459205687046,0.008301404853128991,0.7840511530637742,fall_candidate,not_fall,"LSTM=0.90; резкое движение, движение вниз; недостаточно подтверждения"
174,5.8,1,1,43.32605254650116,179.78934788703918,141.329838848114,320.49772453308105,98.00378630161285,140.70837664604187,0.6965028567428199,92.32794569730758,250.14353621006012,18.97894474489346,0.2077530324459076,73.27330017089844,41.8331298828125,3.476950168609619,12.260820388793945,2.113583564758301,2.3823258876800537,0.5430758017492712,0.8546792149543763,fall_candidate,not_fall,"LSTM=0.99; резкое движение, движение вниз; недостаточно подтверждения"
176,5.866666666666666,1,1,52.29981994628906,194.12283325195312,191.0255584716797,353.34991455078125,138.72573852539062,159.22708129882812,0.8712446236770379,121.66268920898438,273.7363739013672,37.64504173492471,0.3984805643558502,67.06407165527344,55.75050354003906,0.15024161338806152,2.867565393447876,-0.03518771007657051,-0.03329091519117355,0.004705669426722773,0.8589843392372132,fall_candidate,not_fall,"LSTM=1.00; резкое движение, движение вниз; недостаточно подтверждения"
177,5.9,1,1,52.4287109375,194.08755493164062,189.95159912109375,353.1806640625,137.52288818359375,159.09310913085938,0.8644176289903078,121.19015502929688,273.6341094970703,0.48347343190617337,0.4060126543045044,65.74352264404297,55.984375,0.07254599034786224,0.8357934355735779,0.02503073588013649,0.01641915924847126,0.007793273174733388,0.854847076535225,fall_candidate,not_fall,"LSTM=0.99; резкое движение, движение вниз; недостаточно подтверждения"
178,5.933333333333334,1,1,66.47491455078125,213.05845642089844,196.7691192626953,352.84173583984375,130.29420471191406,139.7832794189453,0.9321158099418209,131.62201690673828,282.9500961303711,13.986112725909733,0.273602157831192,127.44475555419922,29.039642333984375,6.656661033630371,34.44124984741211,4.30958366394043,4.156520366668701,0.4425845147219193,0.9189154535531998,fall,fall,"LSTM=0.99; резкое движение, горизонтальная/наклонная поза, движение вниз; подтверждено несколькими кадрами"
179,5.966666666666667,1,1,65.8734130859375,214.39926147460938,203.7301025390625,354.81298828125,137.856689453125,140.41372680664062,0.9817892636876105,134.8017578125,284.6061248779297,3.5851336712199227,0.10927087068557739,90.0,0.0,0.08521851897239685,1.7811765670776367,-0.010720070451498032,0.003121923189610243,0.00596155822797821,0.760128277540207,fall,fall,"LSTM=0.78; резкое движение, горизонтальная/наклонная поза, движение вниз; подтверждено несколькими кадрами"
181,6.033333333333333,1,1,80.1529541015625,222.376220703125,204.54832458496094,354.2351379394531,124.39537048339844,131.85891723632812,0.9433974818741085,142.35063934326172,288.30567932128906,8.406682784835853,0.4319632053375244,65.3665771484375,46.659088134765625,1.4880404472351074,7.50028133392334,1.0659661293029785,0.28334754705429077,0.2487272727272727,0.9744457900524139,fall,fall,"LSTM=0.97; резкое движение, низкое положение, горизонтальная/наклонная поза, движение вниз; подтверждено несколькими кадрами"
182,6.066666666666666,1,1,81.16781616210938,222.8452911376953,204.7697296142578,354.753173828125,123.60191345214844,131.9078826904297,0.9370320479044133,142.9687728881836,288.79923248291016,0.7910017716186615,0.4340471029281616,63.51841354370117,46.690826416015625,0.12455741316080093,0.6527308225631714,0.08371055126190186,-0.004135944414883852,0.0,0.9164776653051376,fall,fall,"LSTM=0.89; резкое движение, низкое положение, горизонтальная/наклонная поза, движение вниз; подтверждено несколькими кадрами"
